id	parity	herd	ys	sex	dam	bw	day115	adg115	bf115	lma115	lean115
DDSHXX517049301	5	11	174	1	DDSHXX514087116	2.1	162.47	694.9	11.13	41.33	56.06
DDSHXX518243903	2	11	183	1	DDSHXX517116804	1.85	171.29	660.58	8.96	39.53	56.11
DDSHXX518209202	2	15	182	2	DDSHXX517071402	1.7	191.39	591.98	11.35	47.5	58.4
DDSHXX617105205	1	9	171	1	DDSHXX416036804	1.5	213.19	532.39	8.75	44.33	58.07
DDSHXX518135405	4	11	182	1	DDSHXX516113808	1.5	171.68	661.11	13.9	44.06	56.16
DDSHXX518172604	3	16	182	2	DDSHXX516248404	1.4	219.1	518.48	10.58	36.42	54.32
DDSHXX516038805	2	15	164	1	DDSHXX514105304	1.56	192.18	590.28	14.9	36.87	52.99
DDSHXX516215605	4	16	163	1	DDSHXX514063910	1.45	216.65	524.12	14.22	42.89	55.59
DDSHXX517010411	5	18	174	1	DDSHXX514046604	1	193.11	590.34	15.41	41.95	54.81
DDSHXX515200809	5	17	153	1	DDUSACS13001401	0.84	203.58	560.76	21.75	38.03	51.05
DDSHXX516079106	4	12	161	2	DDSHXX513021504	1.88	181.63	622.8	10.21	41.36	56.39
DDSHXX518004001	2	12	184	1	DDSHXX516224804	1.8	157.06	720.74	16.71	38.7	53.07
DDSHXX516123205	2	17	161	1	DDSHXX515004104	1.8	166.47	680	11.16	43.27	56.81
DDSHXX517186607	1	14	172	1	DDSHXX516164606	1.7	169.7	667.65	12.78	42.43	55.91
DDSHXX516267607	2	15	163	1	DDSHXX515154804	1.55	159.44	711.55	13.02	49.1	58.45
DDSHXX517180110	2	14	172	2	DDSHXX516053402	1.6	191.17	593.19	10.38	49.68	59.6
DDSHXX518190407	3	14	182	1	DDSHXX516244506	1.85	182.01	621.67	9.91	42.7	57.02
DDSHXX516132805	1	15	162	1	DDSHXX515134004	1.6	196.52	577.04	13.8	51.16	58.99
DDSHXX516138601	1	15	162	1	DDSHXX515101408	1.9	208.43	542.63	9.61	38.99	55.67
DDSHXX516075706	6	12	161	2	DDUSACS12022403	1.6	204.09	555.64	14.6	46.8	56.99
DDSHXX518135701	3	11	182	1	DDSHXX516214804	1.85	177.46	637.61	12.3	42.84	56.24
DDSHXX515255202	3	11	153	2	DDSHXX513024708	1.76	194.71	581.58	16.86	37.41	52.52
DDSHXX515191508	5	17	152	2	DDUSACR12032202	1.2	199.84	569.46	9.55	47.49	59.03
DDSHXX515065601	2	4	151	1	DDSHXX513002602	1.88	161.99	698.31	12.58	49.4	58.72
DDSHXX516124507	3	17	162	1	DDSHXX514086902	1.7	160.29	706.84	14.08	38.53	53.93
DDSHXX516098313	6	18	161	1	DDUSWFD13000510	1.52	158.3	716.87	15.6	53.9	59.43
DDSHXX516196803	4	18	162	1	DDSHXX514043302	1.5	199.56	568.75	13.58	43.47	56.04
DDSHXX515273112	6	16	154	2	DDUSWFD13002408	1.8	167.67	675.14	16.82	43.22	54.81
DDSHXX518233605	4	12	183	1	DDSHXX516178104	1.6	195.73	579.37	7.83	45.33	58.78
DDSHXX518234907	1	12	183	1	DDSHXX517259106	2.05	169.42	666.69	10.01	46.28	58.39
DDSHXX515147008	2	12	152	2	DDSHXX513026502	1.9	176.32	641.45	10.05	37.94	55.1
DDSHXX517059804	2	17	171	2	DDSHXX515265310	1.9	175.1	645.92	15.3	48.28	57.33
DDSHXX515035501	4	16	154	1	DDUSWFD13020506	2.06	174.76	646.26	12.97	39.15	54.56
DDSHXX516027104	2	16	164	2	DDSHXX514087112	2.12	167.65	673.31	12.34	45.24	57.17
DDSHXX518245008	6	11	183	2	DDSHXX515246710	1.95	203.64	555.15	8.43	43.87	58
DDSHXX518124307	5	12	181	1	DDSHXX515260902	1.35	225.71	503.52	8.97	39.87	56.24
DDSHXX517098808	2	15	171	2	DDSHXX515264006	2.05	168.11	671.88	12.91	52.89	59.98
DDSHXX516242103	1	14	163	1	DDSHXX515261004	1.6	180.34	628.81	9.52	40.57	56.32
DDSHXX515199903	1	13	153	1	DDSHXX514105608	1.6	235.64	481.24	10.89	41.14	56.07
DDSHXX518078510	4	14	181	2	DDSHXX516045604	2.15	194.46	580.33	13.57	36.37	53.26
DDSHXX514124605	1	17	143	1	DDSHXX513003604	1.9	151.47	746.68	14.86	42.16	55.08
DDSHXX516209706	3	18	163	2	DDSHXX514153806	1.85	185.73	609.22	9.97	45.44	58.08
DDSHXX517268203	2	16	173	1	DDSHXX516084306	1.55	158.24	716.95	10.43	41.77	56.47
DDSHXX517010409	5	10	174	1	DDSHXX514046604	1.2	177.23	642.1	12.35	42.62	56.14
DDSHXX518171201	3	16	182	1	DDSHXX516205102	1.75	168.49	672.15	10.9	39.71	55.5
DDSHXX518191302	2	14	182	2	DDSHXX517079406	1.8	179.03	632.3	10.76	52.97	60.76
DDSHXX517178509	1	14	172	1	DDSHXX516157912	1.5	177.78	638.43	7.37	39.51	56.66
