ind	sire	dam
DDUSWFD13000510	DDUSWFD11017103	DDUSWFD10000707
DDSHXX416033506	DDSHXX114099803	DDJXXX115009520
DDUSWFD12030204	DDUSWFD11011602	DDUWFDM11023004
DDUSWFD13005806	DDUSWFD11017103	DDUSWFD11008203
DDUSWFD13020007	DDUWFDM11030804	DDUWFDM12021604
DDUSWFD13002308	DDUSWFD11012301	DDUSWFD10005709
DDUSWFD12023210	DDUSWFD11011602	DDUSWFD09008206
DDUSWFD13022706	DDUWFDM11023901	DDUWFDM11022905
DDUSWFD13020505	DDUWFDM11028501	DDUWFDM11022309
DDUSWFD12022407	DDUSWFD11017103	DDUSWFD11005508
DDUSWFD13022704	DDUWFDM11023901	DDUWFDM11022905
DDSHXX417054906	DDGDFC115134603	DDJXXX115009595
DDUSWFD13002908	DDUWFDM11021701	DDUSWFD10017904
DDUSACS13000704	DDUSACS12005111	DDUSACS11013301
DDUSWFD13021509	DDUWFDM11028501	DDUWFDM11024309
DDUSACS12020002	DDUCBSW11007102	DDUSACS11004803
DDUSACS13000701	DDUSACS12005111	DDUSACS11013301
DDUSWFD13001606	DDUSWFD11008501	DDUSWFD09014606
DDUSWFD12022408	DDUSWFD11017103	DDUSWFD11005508
DDUSWFD13020407	DDUSWFD11017102	DDUWFDM11022606
DDUSWFD13022705	DDUWFDM11023901	DDUWFDM11022905
DDSHXX417067204	DDGDFC115130101	DDJXXX115005081
DDUSWFD13000706	DDUWFDM11030702	DDUSWFD10021105
DDUSWFD13001107	DDUSWFD11019603	DDUSWFD10012805
DDUSWFD13004705	DDUWFDM11021701	DDUSWFD10006307
DDUSWFD13022007	DDUWFDM11030804	DDUWFDM11032106
DDUSWFD13003407	DDUSWFD11007801	DDUSWFD10004603
DDUSWFD12022906	DDUSWFD11017103	DDUSWFD11011309
DDUSWFD13006209	DDUISUB11010203	DDUSWFD10014402
DDUSWFD13004106	DDUSWFD11011602	DDUSWFD11008205
DDUSWFD13001605	DDUSWFD11008501	DDUSWFD09014606
DDUSWFD12028308	DDUWFDM11028501	DDUWFDM11031910
DDUSWFD13006009	DDUISUB11010203	DDUSWFD10022908
DDUSWFD13006905	DDUSWFD12005402	DDUSWFD10004210
DDUSWFD13006206	DDUISUB11010203	DDUSWFD10014402
DDUSWFD12030603	DDUWFDM11023901	DDUWFDM11022504
DDUSWFD13004208	DDUWFDM11021701	DDUSWFD11011505
DDUSWFD13022807	DDUSWFD11017103	DDUWFDM11025208
DDUSWFD13002010	DDUSWFD11007801	DDUSWFD10001508
DDUSWFD13021208	DDUWFDM11028501	DDUWFDM11023108
DDUSACS13001202	DDUSACS12005111	DDUSACS11013002
DDUSWFD13001706	DDUSWFD11008501	DDUSWFD12003806
DDUSWFD13002205	DDUSWFD11007801	DDUSWFD12005706
DDUSWFD13002207	DDUSWFD11007801	DDUSWFD12005706
DDUSACR13061203	DDUCBSW11007102	DDUSACR10003805
